# The repo fleet. Data, not code — adding a repo is one line here, never a script edit.
#
# owner/repo        role       pm     bootstrap
#
#   owner/repo  full slug. Most live under GarrettMakesItLLC, but not all — the
#               marketing site is under the GarrettMakesIt org, and assuming one
#               owner is how device.sh silently fails to clone it.
#   role        product | infra | archive — `archive` is cloned only with --all
#   pm          npm | pnpm | none  — none means nothing to install
#   bootstrap   extra command run in the repo after install, or `-`
#
# Tabs between fields. Lines starting with # and blank lines are ignored. The
# local directory is named after the repo, without the owner.

GarrettMakesItLLC/MuscleBuddy	product	npm	npx prisma generate
GarrettMakesItLLC/RedThreadEvents	product	npm	npx prisma generate
GarrettMakesItLLC/AdventureOS	product	pnpm	pnpm db:generate
GarrettMakesItLLC/NetWorthy	product	npm	-
GarrettMakesIt/GarrettMakesIt	product	npm	-

GarrettMakesItLLC/ci	infra	none	-
GarrettMakesItLLC/dotfiles	infra	none	-
GarrettMakesItLLC/.github	infra	none	-

# Retained for reference, not active work. QuantaForge is NetWorthy's prior art
# (see NetWorthy/docs/reference/quantaforge-prior-art.md); OverlandOS is
# AdventureOS's predecessor.
GarrettMakesItLLC/QuantaForge	archive	none	-
GarrettMakesItLLC/OverlandOS	archive	npm	-
GarrettMakesItLLC/ReptIdle	archive	none	-
